index,name,A,Ixx,Iyy,J,k
0,--Select--,1.0,1.0,1.0,1.0,1.0
1,REC 300x230,0.069,0.000304175,0.0005175,0.000647767094842226,1.5
2,SQ 300x300,0.09,0.000675,0.000675,0.0011390625,1.5
3,CIRC D300,0.0706858347057703,0.000397607820219958,0.000397607820219958,0.000795215640439916,1.7
4,I 300x300 f50w50,0.04,0.000508333333333333,0.00022708333333333302,3.54166666666667e-05,0.20901639344262302
5,I 300x230 f50w50,0.033,0.0003975,0.000103475,2.95833333333333e-05,0.212264150943396
6,T 300x300 f50w50,0.0275,0.000221638257575758,0.00011510416666666699,2.39583333333333e-05,0.19672131147541003
7,T 300x230 f50w50,0.024,0.000202265625,5.3299999999999995e-05,2.10416666666667e-05,0.196554234409124
8,C 300x300 f50w50,0.04,0.000508333333333333,0.000344270833333333,3.33333333333333e-05,0.20901639344262302
9,C 300x230 f50w50,0.033,0.0003975,0.00015992954545454498,2.75e-05,0.212264150943396
10,L 300x300 f50w50,0.0275,0.00022163825757575697,0.00022163825757575697,2.29166666666667e-05,0.6507592190889371
11,L 300x230 f50w50,0.024,0.000202265624999999,0.000101815625,2e-05,0.6455696202531651
12,REC 300x230 f50,0.043,0.000430833333333333,0.000267558333333333,0.000698391666666667,1.1515151515151498
13,SQ 300x300 f50,0.05,0.000541666666666667,0.000541666666666667,0.00108333333333333,1.125
14,CIRC D300 f50,0.0392699081698724,0.000319068003880213,0.000319068003880213,0.0006381360077604269,2.97742170461146
 