System,Quantity,Symbol,Conversion
SI,Force,N,1.000000000000000
SI,Force,kN,1000.000000000000000
SI,Force,MN,1000000.000000000000000
SI,Force,GN,1000000000.000000000000000
SI,Force,kgf,9.806650000000000
SI,Force,tf,9806.650000000000000
SI,Force,Custom,1

SI,Length,m,1.000000000000000
SI,Length,mm,0.001000000000000
SI,Length,cm,0.010000000000000
SI,Length,dam,10.000000000000000
SI,Length,Custom,10.000000000000000

ENG,Force,pdl,1.000000000000000
ENG,Force,lbf,32.174048556430400
ENG,Force,ozf,2.010878034776900
ENG,Force,kip,32174.048556430400000
ENG,Force,Custom,32174.048556430400000

ENG,Length,ft,1.000000000000000
ENG,Length,in,0.083333333333333
ENG,Length,Custom,3.000000000000000
 